inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV,rank_orig,rank_comp,in_orig_topk,in_comp_topk
u2/CTS_ccl_a_buf_00126,BUFx6f_ASAP7_75t_SL,337.032,320.616,49.98,43.06,-6.92,1,13466,Y,
u2/R0_reg\[10\],,,,49.57,42.54,-7.03,2,14207,Y,
u2/uk_K_r1_reg\[17\],,,,49.25,42.48,-6.77,3,14277,Y,
u2/CTS_ccl_a_buf_00116,BUFx6f_ASAP7_75t_SL,336.816,301.176,49.21,42.57,-6.64,4,14161,Y,
u2/R1_reg\[12\],,,,49.08,26.84,-22.24,5,23644,Y,
CTS_ccl_a_buf_00102,BUFx6f_ASAP7_75t_SL,293.832,301.176,48.87,46.58,-2.29,6,7218,Y,
u2/L0_reg\[10\],,,,48.86,41.72,-7.14,7,15284,Y,
u2/desIn_r_reg\[4\],,,,48.86,46.32,-2.54,8,7689,Y,
u1/g16756,XNOR2xp5_ASAP7_75t_SL,295.992,301.176,48.8,45.59,-3.21,9,8922,Y,
u2/FE_PHC5259_R0_1,HB1xp67_ASAP7_75t_SL,341.784,321.696,48.78,,,10,,Y,
u2/L2_reg\[12\],,,,48.55,41.87,-6.68,11,15097,Y,
u2/desIn_r_reg\[55\],,,,48.52,45.31,-3.21,12,9424,Y,
u2/g15671,INVx1_ASAP7_75t_SL,337.248,318.456,48.5,,,13,,Y,
u2/u2_u6_g1954,INVx1_ASAP7_75t_SL,325.8,330.336,48.5,,,14,,Y,
u2/g15296,XNOR2xp5_ASAP7_75t_SL,323.856,330.336,48.48,,,15,,Y,
u2/u2_u6_g1943,NOR2xp33_ASAP7_75t_SL,326.448,330.336,48.47,,,16,,Y,
u2/u2_u6_g1942,NAND2xp5_ASAP7_75t_SL,328.608,320.616,48.45,,,17,,Y,
u2/u2_u6_g1955,INVx1_ASAP7_75t_SL,329.688,320.616,48.44,,,18,,Y,
u2/R2_reg\[12\],,,,48.43,26.01,-22.42,19,23893,Y,
u2/uk_K_r1_reg\[4\],,,,48.41,41.39,-7.02,20,15666,Y,
u1/CTS_ccl_a_buf_00056,BUFx5_ASAP7_75t_SL,207.864,266.616,47.98,53.02,5.04,281,1,,Y
u1/L10_reg\[26\],,,,47.63,52.7,5.07,660,2,,Y
u1/CTS_ccl_a_buf_00058,BUFx6f_ASAP7_75t_SL,157.104,249.336,47.45,51.7,4.25,846,7,,Y
u1/u6_u2_g2008,AO21x1_ASAP7_75t_SL,157.104,250.416,47.33,51.64,4.31,1005,9,,Y
u1/FE_PHC944_R9_30,HB3xp67_ASAP7_75t_SL,210.456,266.616,47.32,52.33,5.01,1019,3,,Y
u1/u6_u2_g2024,INVx1_ASAP7_75t_SL,158.4,250.416,47.26,51.56,4.3,1099,10,,Y
u1/R9_reg\[26\],,,,47.1,52.17,5.07,1368,4,,Y
u1/L10_reg\[30\],,,,47.06,52.07,5.01,1439,5,,Y
u1/FE_PHC194_R9_26,HB3xp67_ASAP7_75t_L,202.896,267.696,46.69,51.73,5.04,1952,6,,Y
CTS_ccl_a_buf_00356,BUFx3_ASAP7_75t_SL,207.864,268.776,46.64,51.7,5.06,2019,8,,Y
u1/g28511,XNOR2xp5_ASAP7_75t_SL,219.744,249.336,46.61,51.54,4.93,2077,11,,Y
u1/g28512,XNOR2xp5_ASAP7_75t_SL,217.8,249.336,46.59,51.54,4.95,2113,12,,Y
u1/u11_u4_g2304,OAI21xp5_ASAP7_75t_SL,220.824,250.416,46.58,51.49,4.91,2130,18,,Y
u1/FE_PHC895_R9_20,HB3xp67_ASAP7_75t_SL,210.456,268.776,46.52,51.54,5.02,2215,13,,Y
u1/u10_u4_g2333,INVx1_ASAP7_75t_SL,206.784,255.816,46.51,51.48,4.97,2232,19,,Y
u1/u10_u4_g2310,OAI21xp5_ASAP7_75t_SL,207.648,255.816,46.5,51.47,4.97,2247,20,,Y
u1/u10_u6_g1865,NOR2xp33_ASAP7_75t_SL,208.728,269.856,46.5,51.52,5.02,2259,14,,Y
u1/g30764,XNOR2xp5_ASAP7_75t_SL,209.808,250.416,46.46,51.52,5.06,2318,15,,Y
u1/g30755,XNOR2xp5_ASAP7_75t_SL,207.864,250.416,46.44,51.51,5.07,2359,16,,Y
u1/L10_reg\[28\],,,,46.42,51.5,5.08,2387,17,,Y
