inst,cell,x_um,y_um,ir_orig_mV,ir_comp_mV,delta_mV
u2/CTS_ccl_a_buf_00126,BUFx6f_ASAP7_75t_SL,337.032,320.616,49.98,43.06,-6.92
u2/R0_reg\[10\],,,,49.57,42.54,-7.03
u2/uk_K_r1_reg\[17\],,,,49.25,42.48,-6.77
u2/CTS_ccl_a_buf_00116,BUFx6f_ASAP7_75t_SL,336.816,301.176,49.21,42.57,-6.64
u2/R1_reg\[12\],,,,49.08,26.84,-22.24
CTS_ccl_a_buf_00102,BUFx6f_ASAP7_75t_SL,293.832,301.176,48.87,46.58,-2.29
u2/L0_reg\[10\],,,,48.86,41.72,-7.14
u2/desIn_r_reg\[4\],,,,48.86,46.32,-2.54
u1/g16756,XNOR2xp5_ASAP7_75t_SL,295.992,301.176,48.8,45.59,-3.21
u2/FE_PHC5259_R0_1,HB1xp67_ASAP7_75t_SL,341.784,321.696,48.78,,
u2/L2_reg\[12\],,,,48.55,41.87,-6.68
u2/desIn_r_reg\[55\],,,,48.52,45.31,-3.21
u2/g15671,INVx1_ASAP7_75t_SL,337.248,318.456,48.5,,
u2/u2_u6_g1954,INVx1_ASAP7_75t_SL,325.8,330.336,48.5,,
u2/g15296,XNOR2xp5_ASAP7_75t_SL,323.856,330.336,48.48,,
u2/u2_u6_g1943,NOR2xp33_ASAP7_75t_SL,326.448,330.336,48.47,,
u2/u2_u6_g1942,NAND2xp5_ASAP7_75t_SL,328.608,320.616,48.45,,
u2/u2_u6_g1955,INVx1_ASAP7_75t_SL,329.688,320.616,48.44,,
u2/R2_reg\[12\],,,,48.43,26.01,-22.42
u2/uk_K_r1_reg\[4\],,,,48.41,41.39,-7.02
u2/u3_u4/g2174,AOI32xp33_ASAP7_75t_SL,333.792,302.256,48.41,,
u2/L1_reg\[6\],,,,48.39,41.31,-7.08
u2/u2_u6_g1947,NOR2xp33_ASAP7_75t_SL,330.336,320.616,48.39,,
u2/R1_reg\[7\],,,,48.39,25.99,-22.4
u2/g15465,INVx1_ASAP7_75t_SL,325.8,331.416,48.38,,
u2/u2_u6_g1915,AOI22xp5_ASAP7_75t_SL,325.152,318.456,48.38,,
u2/uk_K_r1_reg\[53\],,,,48.38,41.49,-6.89
u2/u2_u6_g1894,AO331x1_ASAP7_75t_SL,324.936,320.616,48.37,,
u2/u2_u6_g1917,AOI22xp5_ASAP7_75t_SL,327.528,330.336,48.37,,
u2/CTS_ccl_a_buf_00120,BUFx6f_ASAP7_75t_SL,337.248,289.296,48.37,41.76,-6.61
u2/u2_u6_g1918,AO22x1_ASAP7_75t_SL,324.288,329.256,48.36,,
u2/R1_reg\[14\],,,,48.35,26.16,-22.19
u2/L0_reg\[9\],,,,48.35,41.3,-7.05
u2/g15779,AOI22xp5_ASAP7_75t_SL,340.272,318.456,48.35,,
u2/g15624,AOI32xp33_ASAP7_75t_SL,336.816,317.376,48.35,,
u2/u2_u6_g1938,NOR2xp33_ASAP7_75t_SL,323.424,329.256,48.35,,
u2/u1_u2_g1952,OAI321xp33_ASAP7_75t_SL,349.56,344.376,48.35,,
u2/g15440,AOI22xp5_ASAP7_75t_SL,324.072,331.416,48.34,,
u2/g15822,XNOR2xp5_ASAP7_75t_SL,327.312,319.536,48.34,,
u2/u2_u6_g1950,NAND2xp5_ASAP7_75t_SL,327.312,331.416,48.33,,
u2/desIn_r_reg\[5\],,,,48.33,45.0,-3.33
u2/u2_u6_g1906,AOI22xp5_ASAP7_75t_SL,326.232,329.256,48.33,,
u2/u2_u6_g1924,NOR2xp33_ASAP7_75t_SL,328.608,321.696,48.33,,
u2/g15162,XNOR2xp5_ASAP7_75t_SL,351.288,344.376,48.33,,
u2/L2_reg\[5\],,,,48.33,42.4,-5.93
u2/R1_reg\[3\],,,,48.32,25.61,-22.71
u2/g15248,AOI22xp5_ASAP7_75t_SL,337.464,332.496,48.32,,
u2/u2_u6_g1923,NOR2xp33_ASAP7_75t_SL,327.528,321.696,48.32,,
u2/g15618,AOI32xp33_ASAP7_75t_SL,334.872,317.376,48.32,,
u2/u2_u6_g1897,OAI221xp5_ASAP7_75t_SL,322.992,319.536,48.31,,
u2/u2_u6_g1948,NOR2xp33_ASAP7_75t_SL,322.56,329.256,48.31,,
u2/u2_u6_g1903,AOI221xp5_ASAP7_75t_SL,322.992,320.616,48.31,,
u2/g15667,NAND2xp5_ASAP7_75t_SL,339.624,317.376,48.31,,
u2/R1_reg\[8\],,,,48.31,25.74,-22.57
u2/FE_PHC3686_desIn_r_47,HB2xp67_ASAP7_75t_SL,338.112,336.816,48.3,40.94,-7.36
u2/u2_u6_g1913,AOI22xp5_ASAP7_75t_SL,325.8,321.696,48.3,,
u2/FE_PHC6456_L1_32,HB1xp67_ASAP7_75t_SL,339.192,336.816,48.3,,
u2/FE_PHC6477_L2_25,HB1xp67_ASAP7_75t_SL,325.584,315.216,48.3,,
u2/u2_u6_g1936,INVx1_ASAP7_75t_SL,321.912,319.536,48.3,,
u2/g15476,NAND2xp5_ASAP7_75t_SL,328.176,331.416,48.3,,
u2/FE_PHC7426_uk_K_r0_12,HB1xp67_ASAP7_75t_SL,334.224,323.856,48.3,,
u2/g15375,XNOR2xp5_ASAP7_75t_SL,329.472,319.536,48.29,,
u2/uk_K_r0_reg\[48\],,,,48.29,41.02,-7.27
u2/u2_u6_g1933,NOR2xp33_ASAP7_75t_SL,324.504,321.696,48.29,,
u2/g15166,XNOR2xp5_ASAP7_75t_SL,347.4,344.376,48.29,,
u2/uk_K_r0_reg\[27\],,,,48.29,41.06,-7.23
u2/R2_reg\[7\],,,,48.28,26.23,-22.05
u2/R1_reg\[2\],,,,48.28,25.94,-22.34
u2/uk_K_r0_reg\[10\],,,,48.28,40.88,-7.4
u2/uk_K_r1_reg\[13\],,,,48.28,40.89,-7.39
u2/u2_u6_g1934,INVx1_ASAP7_75t_SL,323.424,321.696,48.28,,
u2/FE_PHC4365_R1_18,HB2xp67_ASAP7_75t_SL,336.168,323.856,48.28,,
u2/u2_u6_g1957,INVx1_ASAP7_75t_SL,321.696,329.256,48.28,,
u2/uk_K_r0_reg\[19\],,,,48.27,41.27,-7.0
u2/uk_K_r0_reg\[33\],,,,48.27,41.17,-7.1
u2/g15160,XNOR2xp5_ASAP7_75t_SL,349.344,343.296,48.27,,
u2/u1_u2_g2014,NAND2xp5_ASAP7_75t_SL,353.232,344.376,48.27,,
u2/uk_K_r1_reg\[24\],,,,48.26,40.29,-7.97
u2/uk_K_r1_reg\[25\],,,,48.26,41.31,-6.95
u2/uk_K_r0_reg\[6\],,,,48.26,41.1,-7.16
u2/g15763,XNOR2xp5_ASAP7_75t_SL,332.064,319.536,48.26,,
u2/L1_reg\[18\],,,,48.26,41.06,-7.2
u2/g15833,XNOR2xp5_ASAP7_75t_SL,332.064,326.016,48.26,,
u2/FE_PHC3411_uk_K_r0_11,HB1xp67_ASAP7_75t_L,351.936,338.976,48.25,,
u2/uk_K_r1_reg\[18\],,,,48.25,40.33,-7.92
u2/L2_reg\[25\],,,,48.25,42.42,-5.83
u2/uk_K_r0_reg\[12\],,,,48.25,41.18,-7.07
u2/R0_reg\[2\],,,,48.25,41.08,-7.17
u2/uk_K_r1_reg\[55\],,,,48.25,41.3,-6.95
u2/uk_K_r0_reg\[18\],,,,48.24,40.77,-7.47
u2/u2_u6_g1908,AOI22xp5_ASAP7_75t_SL,327.96,324.936,48.24,,
u2/g15609,OAI221xp5_ASAP7_75t_SL,334.872,316.296,48.24,,
u2/g15222,AOI22xp5_ASAP7_75t_SL,337.464,333.576,48.24,,
u2/g15775,INVx1_ASAP7_75t_SL,334.008,316.296,48.23,,
u2/L1_reg\[1\],,,,48.23,41.16,-7.07
u2/FE_PHC8219_n_4140,HB1xp67_ASAP7_75t_SL,325.8,324.936,48.23,41.87,-6.36
u2/R2_reg\[25\],,,,48.23,26.47,-21.76
u2/g15331,XOR2xp5_ASAP7_75t_SL,340.488,317.376,48.23,,
u2/FE_PHC1911_R0_14,HB2xp67_ASAP7_75t_SL,352.8,338.976,48.23,,
u2/L2_reg\[28\],,,,48.22,41.91,-6.31
u2/u3_u4/g2194,AND2x2_ASAP7_75t_SL,335.736,302.256,48.22,,
u2/g15491,OR2x2_ASAP7_75t_SL,322.344,331.416,48.22,,
u2/L2_reg\[32\],,,,48.22,41.33,-6.89
u2/R2_reg\[1\],,,,48.22,26.81,-21.41
u2/u2_u6_g1953,NOR2xp33_ASAP7_75t_SL,329.688,324.936,48.22,,
u2/u2_u6_g1905,AO21x1_ASAP7_75t_SL,326.448,326.016,48.22,,
u2/uk_K_r1_reg\[20\],,,,48.22,40.96,-7.26
u2/g15688,INVx1_ASAP7_75t_SL,334.656,315.216,48.22,,
u2/uk_K_r2_reg\[37\],,,,48.21,43.06,-5.15
u2/u2_u6_g1958,INVx1_ASAP7_75t_SL,323.64,328.176,48.21,,
u2/u2_u6_g1893,OAI221xp5_ASAP7_75t_SL,328.824,329.256,48.21,,
u2/u1_u2_g2018,INVx1_ASAP7_75t_SL,348.696,343.296,48.21,,
