windows,duration_ns,compression_ratio,C1,C_layer_min,C_margin,C_overall
algo_win2,500,4.2%,100.0%,100.0%,100.0%,100.0%
algo_win1,600,5.1%,100.0%,100.0%,100.0%,100.0%
algo_win1+algo_win2,1100,9.3%,100.0%,100.0%,100.0%,100.0%
eq_win1,2370,20.0%,92.3%,56.6%,108.7%,56.6%
eq_win2,2370,20.0%,100.0%,100.0%,100.0%,100.0%
eq_win3,2370,20.0%,84.6%,79.9%,117.4%,79.9%
eq_win4,2370,20.0%,96.2%,76.3%,104.3%,76.3%
eq_win5,2370,20.0%,96.2%,95.7%,104.3%,95.7%
algo_win1+algo_win2+eq_win2,3470,29.3%,100.0%,100.0%,100.0%,100.0%
eq_win2+eq_win4,4740,40.0%,100.0%,100.0%,100.0%,100.0%
eq_win2+eq_win5,4740,40.0%,100.0%,100.0%,100.0%,100.0%
eq_win1+eq_win2+eq_win3+eq_win4+eq_win5,11850,100.0%,100.0%,100.0%,100.0%,100.0%
