time,value
0,0
476000,100000001
486000,1000000010
496000,1100000011
506000,10000000100
516000,10100000101
606000,1111111111111111
616000,0
626000,1111111111111111
636000,0
646000,1111111111111111
656000,0
666000,1111111111111111
676000,0
686000,1111111111111111
696000,0
706000,1111111111111111
716000,0
726000,1111111111111111
736000,0
746000,1111111111111111
756000,0
766000,1111111111111111
776000,0
786000,1111111111111111
796000,0
806000,1111111111111111
816000,0
826000,1111111111111111
836000,0
846000,1111111111111111
856000,0
866000,1111111111111111
876000,0
886000,1111111111111111
896000,0
906000,1111111111111111
916000,0
926000,1111111111111111
936000,0
946000,1111111111111111
956000,0
966000,1111111111111111
976000,0
986000,1111111111111111
996000,0
