time,value
0,0
485000,100000001
495000,1000000010
505000,1100000011
515000,10000000100
525000,10100000101
615000,1111111111111111
625000,0
635000,1111111111111111
645000,0
655000,1111111111111111
665000,0
675000,1111111111111111
685000,0
695000,1111111111111111
705000,0
715000,1111111111111111
725000,0
735000,1111111111111111
745000,0
755000,1111111111111111
765000,0
775000,1111111111111111
785000,0
795000,1111111111111111
805000,0
815000,1111111111111111
825000,0
835000,1111111111111111
845000,0
855000,1111111111111111
865000,0
875000,1111111111111111
885000,0
895000,1111111111111111
905000,0
915000,1111111111111111
925000,0
935000,1111111111111111
945000,0
955000,1111111111111111
965000,0
975000,1111111111111111
985000,0
995000,1111111111111111
