time,value
0,0
106000,0
126000,100
146000,1000
166000,1100
186000,10000
206000,0
226000,100
246000,1000
266000,1100
286000,10000
566000,111100000000
606000,10101010101010101010101010101010
616000,1010101010101010101010101010101
626000,10101010101010101010101010101010
636000,1010101010101010101010101010101
646000,10101010101010101010101010101010
656000,1010101010101010101010101010101
666000,10101010101010101010101010101010
676000,1010101010101010101010101010101
686000,10101010101010101010101010101010
696000,1010101010101010101010101010101
706000,10101010101010101010101010101010
716000,1010101010101010101010101010101
726000,10101010101010101010101010101010
736000,1010101010101010101010101010101
746000,10101010101010101010101010101010
756000,1010101010101010101010101010101
766000,10101010101010101010101010101010
776000,1010101010101010101010101010101
786000,10101010101010101010101010101010
796000,1010101010101010101010101010101
806000,10101010101010101010101010101010
816000,1010101010101010101010101010101
826000,10101010101010101010101010101010
836000,1010101010101010101010101010101
846000,10101010101010101010101010101010
856000,1010101010101010101010101010101
866000,10101010101010101010101010101010
876000,1010101010101010101010101010101
886000,10101010101010101010101010101010
896000,1010101010101010101010101010101
906000,10101010101010101010101010101010
916000,1010101010101010101010101010101
926000,10101010101010101010101010101010
936000,1010101010101010101010101010101
946000,10101010101010101010101010101010
956000,1010101010101010101010101010101
966000,10101010101010101010101010101010
976000,1010101010101010101010101010101
986000,10101010101010101010101010101010
996000,1010101010101010101010101010101
