time,value
0,0
125000,11011110101011011011111011101111
135000,0
145000,11001010111111101011101010111110
155000,0
165000,10010001101000101011001111000
175000,0
185000,10100101101001011010010110100101
195000,0
205000,1
215000,11011110101011011011111011101111
235000,11001010111111101011101010111110
255000,10010001101000101011001111000
275000,10100101101001011010010110100101
295000,1
575000,0
645000,11111111111111111111111111111111
655000,0
665000,11111111111111111111111111111111
675000,0
685000,11111111111111111111111111111111
695000,0
705000,11111111111111111111111111111111
715000,0
725000,11111111111111111111111111111111
735000,0
745000,11111111111111111111111111111111
755000,0
765000,11111111111111111111111111111111
775000,0
785000,11111111111111111111111111111111
795000,0
805000,11111111111111111111111111111111
815000,0
825000,11111111111111111111111111111111
835000,0
845000,11111111111111111111111111111111
855000,0
865000,11111111111111111111111111111111
875000,0
885000,11111111111111111111111111111111
895000,0
905000,11111111111111111111111111111111
915000,0
925000,11111111111111111111111111111111
935000,0
945000,11111111111111111111111111111111
955000,0
965000,11111111111111111111111111111111
975000,0
985000,11111111111111111111111111111111
995000,0
