time,value
0,0
116000,11011110101011011011111011101111
136000,11001010111111101011101010111110
156000,10010001101000101011001111000
176000,10100101101001011010010110100101
196000,1
576000,10100101
606000,11111111111111111111111111111111
616000,0
626000,11111111111111111111111111111111
636000,0
646000,11111111111111111111111111111111
656000,0
666000,11111111111111111111111111111111
676000,0
686000,11111111111111111111111111111111
696000,0
706000,11111111111111111111111111111111
716000,0
726000,11111111111111111111111111111111
736000,0
746000,11111111111111111111111111111111
756000,0
766000,11111111111111111111111111111111
776000,0
786000,11111111111111111111111111111111
796000,0
806000,11111111111111111111111111111111
816000,0
826000,11111111111111111111111111111111
836000,0
846000,11111111111111111111111111111111
856000,0
866000,11111111111111111111111111111111
876000,0
886000,11111111111111111111111111111111
896000,0
906000,11111111111111111111111111111111
916000,0
926000,11111111111111111111111111111111
936000,0
946000,11111111111111111111111111111111
956000,0
966000,11111111111111111111111111111111
976000,0
986000,11111111111111111111111111111111
996000,0
