time,value
0,0
535000,1
545000,0
555000,1000010
565000,0
615000,11111111
625000,0
635000,11111111
645000,0
655000,11111111
665000,0
675000,11111111
685000,0
695000,11111111
705000,0
715000,11111111
725000,0
735000,11111111
745000,0
755000,11111111
765000,0
775000,11111111
785000,0
795000,11111111
805000,0
815000,11111111
825000,0
835000,11111111
845000,0
855000,11111111
865000,0
875000,11111111
885000,0
895000,11111111
905000,0
915000,11111111
925000,0
935000,11111111
945000,0
955000,11111111
965000,0
975000,11111111
985000,0
995000,11111111
