time,value
0,0
115000,0
125000,0
135000,0
145000,0
155000,0
165000,0
175000,0
185000,0
195000,0
205000,0
215000,0
225000,0
235000,0
245000,0
255000,0
265000,0
275000,0
285000,0
295000,0
305000,0
575000,0
585000,0
615000,0
625000,1
635000,0
645000,1
655000,0
665000,1
675000,0
685000,1
695000,0
705000,1
715000,0
725000,1
735000,0
745000,1
755000,0
765000,1
775000,0
785000,1
795000,0
805000,1
815000,0
825000,1
835000,0
845000,1
855000,0
865000,1
875000,0
885000,1
895000,0
905000,1
915000,0
925000,1
935000,0
945000,1
955000,0
965000,1
975000,0
985000,1
995000,0
