time,value
0,0
316000,1
326000,10
336000,11
346000,100
356000,101
366000,110
376000,111
386000,1000
396000,1001
406000,1010
416000,1011
426000,1100
436000,1101
446000,1110
456000,1111
606000,0
616000,1
626000,10
636000,11
646000,100
656000,101
666000,110
676000,111
686000,1000
696000,1001
706000,1010
716000,1011
726000,1100
736000,1101
746000,1110
756000,1111
766000,10000
776000,10001
786000,10010
796000,10011
806000,10100
816000,10101
826000,10110
836000,10111
846000,11000
856000,11001
866000,11010
876000,11011
886000,11100
896000,11101
906000,11110
916000,11111
926000,100000
936000,100001
946000,100010
956000,100011
966000,100100
976000,100101
986000,100110
996000,100111
