time,value
0,0
306000,10001000100010010001000100010
316000,10001000100010010001000100011
326000,10001000100010010001000100000
336000,10001000100010010001000100001
346000,10001000100010010001000100110
356000,10001000100010010001000100111
366000,10001000100010010001000100100
376000,10001000100010010001000100101
386000,10001000100010010001000101010
396000,10001000100010010001000101011
406000,10001000100010010001000101000
416000,10001000100010010001000101001
426000,10001000100010010001000101110
436000,10001000100010010001000101111
446000,10001000100010010001000101100
456000,10001000100010010001000101101
606000,11111111000000001111111100000000
616000,111111110000000011111111
626000,11111111000000001111111100000000
636000,111111110000000011111111
646000,11111111000000001111111100000000
656000,111111110000000011111111
666000,11111111000000001111111100000000
676000,111111110000000011111111
686000,11111111000000001111111100000000
696000,111111110000000011111111
706000,11111111000000001111111100000000
716000,111111110000000011111111
726000,11111111000000001111111100000000
736000,111111110000000011111111
746000,11111111000000001111111100000000
756000,111111110000000011111111
766000,11111111000000001111111100000000
776000,111111110000000011111111
786000,11111111000000001111111100000000
796000,111111110000000011111111
806000,11111111000000001111111100000000
816000,111111110000000011111111
826000,11111111000000001111111100000000
836000,111111110000000011111111
846000,11111111000000001111111100000000
856000,111111110000000011111111
866000,11111111000000001111111100000000
876000,111111110000000011111111
886000,11111111000000001111111100000000
896000,111111110000000011111111
906000,11111111000000001111111100000000
916000,111111110000000011111111
926000,11111111000000001111111100000000
936000,111111110000000011111111
946000,11111111000000001111111100000000
956000,111111110000000011111111
966000,11111111000000001111111100000000
976000,111111110000000011111111
986000,11111111000000001111111100000000
996000,111111110000000011111111
