window_index,window_start_time,window_end_time,toggle_count
1,5000,104999,2
2,15000,114999,6
3,25000,124999,18
4,35000,134999,32
5,45000,144999,53
6,55000,154999,67
7,65000,164999,86
8,75000,174999,100
9,85000,184999,117
10,95000,194999,131
11,105000,204999,148
12,115000,214999,156
13,125000,224999,154
14,135000,234999,147
15,145000,244999,140
16,155000,254999,133
17,165000,264999,126
18,175000,274999,119
19,185000,284999,112
20,195000,294999,105
21,205000,304999,98
22,215000,314999,93
23,225000,324999,87
24,235000,334999,84
25,245000,344999,74
26,255000,354999,71
27,265000,364999,63
28,275000,374999,60
29,285000,384999,54
30,295000,394999,51
31,305000,404999,43
32,315000,414999,40
33,325000,424999,40
34,335000,434999,40
35,345000,444999,40
36,355000,454999,40
37,365000,464999,40
38,375000,474999,38
39,385000,484999,36
40,395000,494999,35
41,405000,504999,35
42,415000,514999,35
43,425000,524999,35
44,435000,534999,35
45,445000,544999,35
46,455000,554999,35
47,465000,564999,37
48,475000,574999,45
49,485000,584999,66
50,495000,594999,73
51,505000,604999,72
52,515000,614999,92
53,525000,624999,122
54,535000,634999,153
55,545000,644999,187
56,555000,654999,222
57,565000,664999,256
58,575000,674999,287
59,585000,684999,303
60,595000,694999,330
61,605000,704999,367
62,615000,714999,386
63,625000,724999,391
64,635000,734999,395
65,645000,744999,397
66,655000,754999,400
67,665000,764999,399
68,675000,774999,397
69,685000,784999,398
70,695000,794999,404
71,705000,804999,403
72,715000,814999,399
73,725000,824999,400
74,735000,834999,403
75,745000,844999,402
76,755000,854999,397
77,765000,864999,398
78,775000,874999,402
79,785000,884999,401
80,795000,894999,397
81,805000,904999,398
82,815000,914999,401
83,825000,924999,400
84,835000,934999,395
85,845000,944999,396
86,855000,954999,401
87,865000,964999,400
88,875000,974999,396
89,885000,984999,397
90,895000,994999,400
