time,value
0,0
115000,0
125000,0
135000,0
145000,0
155000,0
165000,0
175000,0
185000,0
195000,0
205000,0
235000,0
255000,0
275000,0
295000,0
575000,0
585000,0
615000,0
625000,0
635000,0
645000,0
655000,0
665000,0
675000,0
685000,0
695000,0
705000,0
715000,0
725000,0
735000,0
745000,0
755000,0
765000,0
775000,0
785000,0
795000,0
805000,0
815000,0
825000,0
835000,0
845000,0
855000,0
865000,0
875000,0
885000,0
895000,0
905000,0
915000,0
925000,0
935000,0
945000,0
955000,0
965000,0
975000,0
985000,0
995000,0
