time,value
0,0
135000,0
155000,0
175000,0
195000,0
215000,0
235000,0
255000,0
275000,0
295000,0
495000,0
505000,0
515000,0
525000,0
535000,0
575000,0
615000,0
625000,1111111111111111
635000,0
645000,1111111111111111
655000,0
665000,1111111111111111
675000,0
685000,1111111111111111
695000,0
705000,1111111111111111
715000,0
725000,1111111111111111
735000,0
745000,1111111111111111
755000,0
765000,1111111111111111
775000,0
785000,1111111111111111
795000,0
805000,1111111111111111
815000,0
825000,1111111111111111
835000,0
845000,1111111111111111
855000,0
865000,1111111111111111
875000,0
885000,1111111111111111
895000,0
905000,1111111111111111
915000,0
925000,1111111111111111
935000,0
945000,1111111111111111
955000,0
965000,1111111111111111
975000,0
985000,1111111111111111
995000,0
