time,value
0,11111111
135000,0
195000,11111111
215000,11111111
235000,0
295000,11111111
545000,11111111
555000,11111111
565000,11111111
575000,11111111
615000,0
625000,1000011
635000,0
645000,11111111
655000,0
665000,11111111
675000,0
685000,11111111
695000,0
705000,11111111
715000,0
725000,11111111
735000,0
745000,11111111
755000,0
765000,11111111
775000,0
785000,11111111
795000,0
805000,11111111
815000,0
825000,11111111
835000,0
845000,11111111
855000,0
865000,11111111
875000,0
885000,11111111
895000,0
905000,11111111
915000,0
925000,11111111
935000,0
945000,11111111
955000,0
965000,11111111
975000,0
985000,11111111
995000,0
