signal_name,scope,width,x_um,y_um,source_type,cell_type
CTS_16,test.u0.u2,1,337.248,289.296,net_driver,BUFx6f_ASAP7_75t_SL
CTS_19,test.u0,1,180.0,337.896,net_driver,BUFx5_ASAP7_75t_SL
CTS_21,test.u0,1,172.008,240.696,net_driver,BUFx6f_ASAP7_75t_SL
CTS_25,test.u0,1,30.312,219.096,net_driver,BUFx5_ASAP7_75t_SL
CTS_26,test.u0,1,33.984,171.576,net_driver,BUFx5_ASAP7_75t_SL
CTS_28,test.u0,1,34.416,219.096,net_driver,BUFx3_ASAP7_75t_SL
CTS_30,test.u0,1,31.608,200.736,net_driver,BUFx5_ASAP7_75t_SL
CTS_31,test.u0,1,34.632,237.456,net_driver,BUFx5_ASAP7_75t_SL
CTS_32,test.u0,1,54.288,288.216,net_driver,BUFx6f_ASAP7_75t_SL
CTS_34,test.u0,1,34.416,260.136,net_driver,BUFx6f_ASAP7_75t_SL
CTS_37,test.u0,1,52.776,232.056,net_driver,BUFx3_ASAP7_75t_SL
CTS_38,test.u0,1,37.656,288.216,net_driver,BUFx6f_ASAP7_75t_SL
CTS_40,test.u0,1,62.496,331.416,net_driver,BUFx6f_ASAP7_75t_SL
CTS_41,test.u0,1,95.976,330.336,net_driver,BUFx5_ASAP7_75t_SL
CTS_42,test.u0,1,34.632,331.416,net_driver,BUFx6f_ASAP7_75t_SL
CTS_43,test.u0,1,99.0,344.376,net_driver,BUFx5_ASAP7_75t_SL
CTS_44,test.u0,1,73.296,344.376,net_driver,BUFx6f_ASAP7_75t_SL
CTS_45,test.u0,1,100.728,348.696,net_driver,BUFx6f_ASAP7_75t_SL
CTS_46,test.u0,1,98.784,331.416,net_driver,BUFx3_ASAP7_75t_SL
CTS_47,test.u0,1,27.936,344.376,net_driver,BUFx6f_ASAP7_75t_SL
CTS_48,test.u0,1,44.352,345.456,net_driver,BUFx6f_ASAP7_75t_SL
CTS_49,test.u0,1,96.84,240.696,net_driver,BUFx2_ASAP7_75t_SL
CTS_65,test.u0,1,98.784,240.696,net_driver,BUFx6f_ASAP7_75t_SL
FE_DBTN0_n_57,test.u0.u1,1,102.24,166.176,net_driver,INVx1_ASAP7_75t_SL
FE_OFN0_FE_DBTN0_n_57,test.u0.u1,1,102.24,167.256,net_driver,HB1xp67_ASAP7_75t_SL
FE_OFN10_FE_DBTN0_n_57,test.u0.u1,1,83.664,255.816,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN11_FE_DBTN0_n_57,test.u0.u1,1,126.0,220.176,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN13_decrypt,test.u0.u0,1,55.152,90.576,net_driver,INVx1_ASAP7_75t_SL
FE_OFN15_decrypt,test.u0.u2,1,313.056,263.376,net_driver,INVx1_ASAP7_75t_SL
FE_OFN16_decrypt,test.u0,1,12.384,202.896,net_driver,BUFx2_ASAP7_75t_SL
FE_OFN17_decrypt,test.u0.u2,1,310.032,202.896,net_driver,INVx1_ASAP7_75t_SL
FE_OFN18_decrypt,test.u0.u2,1,298.152,151.056,net_driver,BUFx3_ASAP7_75t_SL
